,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,target
0,48.0,2020,1.0,48.0,1.0,5.0,2.0,37646.0,0.0,0.0,19.0,0.0,False,0.0,2.0,2.0,False,0.0,0.0,1.0,8362680.0,0.9,0.0,9216.0,0.0,3.0,669504.0,,1.0,851.0,92.0,15176,130,12,964.88
1,80.0,2019.1,4.0,20.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,False,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,13198942.0,0.41,,,,11090,60,10,21406.09
2,80.0,unknown,4.0,20.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,True,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,13164180.0,0.41,,,,11090,60,10,21294.57
3,80.0,2020.1,4.0,20.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,True,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,13536085.0,0.41,,,,11090,60,10,16173.29
4,80.0,2018.0.1,4.0,20.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,True,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,13126389.0,0.41,,,,11090,60,10,19386.01
5,96.0,unknown,6.0,16.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,True,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,16455225.0,0.41,,,,15176,130,12,15407.94
6,80.0,2019.2.1,4.0,20.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,True,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,13536085.0,0.41,,,,11090,60,10,15834.05
7,80.0,unknown,4.0,20.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,False,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,13164180.0,0.41,,,,11090,60,10,27595.74
8,96.0,unknown,6.0,16.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,False,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,,,,,,15176,130,12,20662.46
9,80.0,2019.2.1,4.0,20.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,False,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,13536085.0,0.41,,,,11090,60,10,20065.62
10,96.0,unknown,6.0,16.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,False,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,16455225.0,0.41,,,,15176,130,12,19508.0
11,80.0,2019.1,4.0,20.0,228.0,160.01,429.0,1367665.0,0.0,7656.0,3189.0,4733.0,True,157679.0,2.0,2115.0,True,2131.0,5866.0,3.0,269244207.0,0.9,6.0,136276.0,5165.0,3270.0,13198942.0,0.41,,,,11090,60,10,16721.77
